Course Name,Course Summary,Abstract,Description,ECTS,Semester,Language,Exam,Teacher,Programme,Single Subject,Guest Students
Exam Seminar (TDP) S2019,,,,0,,,,,,No,No
KDDIT Thesis Prep Seminar (Autumn 2019),,,,0,Autumn 2019,,,,K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies),No,No
Studylab 1. semester SWU (Autumn 2019),,,,0,Autumn 2019,,,,B-SWU:Bachelor of Science in Software Development,No,No
Studylab 3. semester SWU (Autumn 2019),,,,0,Autumn 2019,,,,B-SWU:Bachelor of Science in Software Development,No,No
TA workshop S2025 vol. 2,,,,0,,,,,,No,No
"(Canceled) AI security: Principles, Practices and Policies, BSc (Autumn 2024)",,,,0,Autumn 2024,,,,B-DS:BSc in Data Science,No,No
"(Canceled) AI security: Principles, Practices and Policies, MSc (Autumn 2024)",,,,0,Autumn 2024,,,,K-CS:MSc in Computer Science,No,No
(Canceled) Advanced Programming with Types (Spring 2025),,,,0,Spring 2025,,,,K-CS:MSc in Computer Science,No,No
(Canceled) Affect and Soma in Design (Autumn 2021),,,,0,Autumn 2021,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
"(Canceled) Algorithms and Data Structures, BSc (Summer University) (Spring 2024)",,,,0,Spring 2024,,,,B-DS:BSc in Data Science,No,No
"(Canceled) Algorithms and Data Structures, BSc (Summer University) (Spring 2025)",,,,0,Spring 2025,,,,B-DS:BSc in Data Science,No,No
"(Canceled) Algorithms and Data Structures, MSc (Summer University) (Spring 2024)",,,,0,Spring 2024,,,,K-SD:MSc in Software Design,No,No
(Canceled) Critical Data Analysis (Spring 2023),,,,0,Spring 2023,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
"(Canceled) Cryptographic Computation and Blockchain, BSc (Autumn 2025)",,,,0,Autumn 2025,,,,B-SWU:BSc in Software Development,No,No
"(Canceled) Cryptographic Computation and Blockchain, BSc (Spring 2024)",,,,0,Spring 2024,,,,B-SWU:BSc in Software Development,No,No
"(Canceled) Cryptographic Computation and Blockchain, MSc (Autumn 2025)",,,,0,Autumn 2025,,,,K-CS:MSc in Computer Science,No,No
"(Canceled) Cryptographic Computation and Blockchain, MSc (Spring 2024)",,,,0,Spring 2024,,,,K-CS:MSc in Computer Science,No,No
(Canceled) Data Design (Summer University) (Spring 2020),,,,0,Spring 2020,,,,K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies),No,No
(Canceled) Data Security and Privacy (Spring 2022),,,,0,Spring 2022,,,,M-SMIT:Separate Modules in Informatics Teaching,No,No
(Canceled) Digital Data Analysis (Autumn 2025),,,,0,Autumn 2025,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Canceled) Digital Platforms (Autumn 2022),,,,0,Autumn 2022,,,,B-GBI:BSc in Global Business Informatics,No,No
"(Canceled) Digital Transformation and Change, MSc (Spring 2022)",,,,0,Spring 2022,,,,K-CS:MSc in Computer Science,No,No
(Canceled) Digitale trends og nye perspektiver - Studietur (Autumn 2019),,,,0,Autumn 2019,,,,M-ILM:Master of IT (IT Leadership and Management),No,No
(Canceled) Digitale trends og nye perspektiver - Studietur (Autumn 2020),,,,0,Autumn 2020,,,,M-ILM:Master of IT (IT Leadership and Management),No,No
(Canceled) Digitale trends og nye perspektiver - Studietur (Autumn 2021),,,,0,Autumn 2021,,,,M-ILM:Master in IT Management,No,No
(Canceled) Fremtidens bæredygtige virksomheder (Spring 2023),,,,0,Spring 2023,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Canceled) How to Build Data Systems (Autumn 2025),,,,0,Autumn 2025,,,,K-CS:MSc in Computer Science,No,No
(Canceled) IT og bæredygtighed (Spring 2022),,,,0,Spring 2022,,,,M-ILM:Master in IT Management,No,No
(Canceled) Leadership and Strategies for the Blockchain Economy (Spring 2022),,,,0,Spring 2022,,,,M-ILM:Master in IT Management,No,No
(Canceled) Leadership and Strategies for the Blockchain Economy (Spring 2023),,,,0,Spring 2023,,,,M-ILM:Master in IT Management,No,No
(Canceled) Managing Digital Transformation (Spring 2024),,,,0,Spring 2024,,,,K-CS:MSc in Computer Science,No,No
"(Canceled) Natural Language Processing and Deep Learning, BSc (Summer University) (Spring 2022)",,,,0,Spring 2022,,,,B-SWU:BSc in Software Development,No,No
"(Canceled) Natural Language Processing and Deep Learning, MSc (Summer University) (Spring 2022)",,,,0,Spring 2022,,,,K-CS:MSc in Computer Science,No,No
(Canceled) Perspectives on Games (Autumn 2024),,,,0,Autumn 2024,,,,K-GAMES:MSc in Games,No,No
"(Canceled) Philosophy of Science and Technology, DMD/B-DDIT (Autumn 2025)",,,,0,Autumn 2025,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Canceled) Probabilistic Programming (Spring 2023),,,,0,Spring 2023,,,,K-CS:MSc in Computer Science,No,No
(Canceled) Special Topic in Service Design (Autumn 2025),,,,0,Autumn 2025,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Canceled) Visionær ledelse i den datadrevne organisation (Spring 2020),,,,0,Spring 2020,,,,M-ILM:Master of IT (IT Leadership and Management),No,No
(Canceled) testkursus - joje - ved overgang fra proposal til basic review når publiceringstatus er unpublished (Spring 2022),,,,0,Spring 2022,,,,B-DS:BSc in Data Science,No,No
(Canceled) testkursus - til overgang til first/final editing-fase (Spring 2022),,,,0,Spring 2022,,,,M-SMIT:Separate Modules in Informatics Teaching,No,No
(Deleted) Advanced Programming in Rust (Spring 2026),,,,0,Spring 2026,,,,K-CS:MSc in Computer Science,No,No
(Deleted) Digital Experience & Aesthetics (Autumn 2019),,,,0,Autumn 2019,,,,B-DMD:Bachelor of Science in Digital Media and Design,No,No
(Deleted) Digital Transformation (Spring 2021),,,,0,Spring 2021,,,,K-CS:Master of Science in Computer Science,No,No
(Deleted) Digital innovation (Autumn 2021),,,,0,Autumn 2021,,,,M-ILM:Master in IT Management,No,No
(Deleted) Digital innovation (Autumn 2021),,,,0,Autumn 2021,,,,M-ILM:Master in IT Management,No,No
(Deleted) Graphics Programming (Autumn 2022),,,,0,Autumn 2022,,,,K-GAMES:MSc in Games,No,No
"(Deleted) Introduction to Artificial Intelligence, BSc (Spring 2020)",,,,0,Spring 2020,,,,B-SWU:Bachelor of Science in Software Development,No,No
(Deleted) JohnArne tester på vegne af Mette (Autumn 2020),,,,0,Autumn 2020,,,,K-SD:Master of Science in Information Technology (Software Design),No,No
(Deleted) Leadership and Strategies for the Blockchain Economy (Spring 2022),,,,0,Spring 2022,,,,M-ILM:Master in IT Management,No,No
(Deleted) Managing Digital Transformation (Spring 2023),,,,0,Spring 2023,,,,B-SWU:BSc in Software Development,No,No
(Deleted) Organisation og innovation (Spring 2022),,,,0,Spring 2022,,,,M-ILM:Master in IT Management,No,No
(Deleted) Research Project SD (Autumn 2019),,,,0,Autumn 2019,,,,K-SDT:MSc Software Development,No,No
(Deleted) placeholder F21 (Spring 2021),,,,0,Spring 2021,,,,K-CD:Cross-disciplinary Courses,No,No
(Discontinued) AI i et globalt perspektiv – jorden rundt på fire dage (Autumn 2025),,,,0,Autumn 2025,,,,M-ILM:Master in IT Management,No,No
"(Discontinued) AI security: Principles, Practices and Policies, BSc (Autumn 2025)",,,,0,Autumn 2025,,,,B-DS:BSc in Data Science,No,No
"(Discontinued) AI security: Principles, Practices and Policies, MSc (Autumn 2025)",,,,0,Autumn 2025,,,,K-CS:MSc in Computer Science,No,No
(Discontinued) Advanced Applied Statistics and Multivariate Calculus (Autumn 2023),,,,0,Autumn 2023,,,,K-DS:MSc in Data Science,No,No
(Discontinued) Advanced Data Science (Autumn 2021),,,,0,Autumn 2021,,,,K-CS:MSc in Computer Science,No,No
(Discontinued) Advanced Machine Learning for Data Science (Spring 2026),,,,0,Spring 2026,,,,K-DS:MSc in Data Science,No,No
(Discontinued) Advanced Programming with Types (Spring 2026),,,,0,Spring 2026,,,,K-CS:MSc in Computer Science,No,No
"(Discontinued) Advanced Programming, MSc (Autumn 2019)",,,,0,Autumn 2019,,,,K-SDT:MSc Software Development,No,No
"(Discontinued) Advanced Programming, Master (Professional education) (Autumn 2020)",,,,0,Autumn 2020,,,,M-SE:Master of IT (Software Engineering),No,No
(Discontinued) Advanced Service Design (Autumn 2024),,,,0,Autumn 2024,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Advanced Software Analysis (Autumn 2025),,,,0,Autumn 2025,,,,K-CS:MSc in Computer Science,No,No
"(Discontinued) Advanced Software Engineering, Master (Professional education) (Spring 2022)",,,,0,Spring 2022,,,,M-SE:Master in Software Engineering,No,No
(Discontinued) Affect and Soma in Design (Autumn 2024),,,,0,Autumn 2024,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Algorithm Design (Autumn 2019),,,,0,Autumn 2019,,,,K-SDT:MSc Software Development,No,No
"(Discontinued) Algorithms and Data Structures, BSc (Summer University) (Spring 2026)",,,,0,Spring 2026,,,,B-DS:BSc in Data Science,No,No
"(Discontinued) Algorithms and Data Structures, MSc (Summer University) (Spring 2025)",,,,0,Spring 2025,,,,K-SD:MSc in Software Design,No,No
(Discontinued) Algorithms for Game Development (Autumn 2023),,,,0,Autumn 2023,,,,K-GAMES:MSc in Games,No,No
(Discontinued) Algorithms for Game Development (Spring 2026),,,,0,Spring 2026,,,,K-GAMES:MSc in Games,No,No
(Discontinued) Algorithms in Games (Spring 2021),,,,0,Spring 2021,,,,K-GAMES:Master of Science in Information Technology (Games),No,No
"(Discontinued) Analysis, Design and Software Architecture (Autumn 2021)",,,,0,Autumn 2021,,,,B-SWU:BSc in Software Development,No,No
(Discontinued) Applied Artificial Intelligence (Summer University) (Spring 2026),,,,0,Spring 2026,,,,K-GAMES:MSc in Games,No,No
(Discontinued) Applied Information Security (Summer University) (Spring 2025),,,,0,Spring 2025,,,,K-SD:MSc in Software Design,No,No
"(Discontinued) Applied Statistics (7,5 ECTS) (Spring 2026)",,,,0,Spring 2026,,,,B-DS:BSc in Data Science,No,No
"(Discontinued) Artificial Life & Evolutionary Robotics: Theory, Methods and Art (Spring 2020)",,,,0,Spring 2020,,,,K-GAMES:Master of Science in Information Technology (Games),No,No
(Discontinued) Big Data Management (Technical) (Autumn 2019),,,,0,Autumn 2019,,,,K-SDT:MSc Software Development,No,No
(Discontinued) Big Data Processes (Spring 2026),,,,0,Spring 2026,,,,K-DIM:MSc in Digital Innovation & Management,No,No
(Discontinued) Brugere i kontekst (Autumn 2024),,,,0,Autumn 2024,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Brugerpraksis i netværk (Spring 2021),,,,0,Spring 2021,,,,K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies),No,No
(Discontinued) Brugerundersøgelser og kvantitative metoder (Spring 2025),,,,0,Spring 2025,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Business Foundations (Autumn 2024),,,,0,Autumn 2024,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Business and Startup Foundations (Summer University) (Spring 2025),,,,0,Spring 2025,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Bæredygtige fremtider (Spring 2021),,,,0,Spring 2021,,,,B-DMD:Bachelor of Science in Digital Media and Design,No,No
(Discontinued) Bæredygtigt iværksætteri (Spring 2023),,,,0,Spring 2023,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Concept Development with Industry (Spring 2021),,,,0,Spring 2021,,,,B-DMD:Bachelor of Science in Digital Media and Design,No,No
(Discontinued) Creative Data Visualisation (Summer University) (Spring 2026),,,,0,Spring 2026,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Critical Big Data Management: Second Part of Specialisation (Autumn 2024),,,,0,Autumn 2024,,,,K-DIM:MSc in Digital Innovation & Management,No,No
(Discontinued) Critical Data Analysis (Spring 2024),,,,0,Spring 2024,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Cross Disciplinary Team Work (Autumn 2022),,,,0,Autumn 2022,,,,K-CD:Cross-disciplinary Courses,No,No
(Discontinued) DADIU Curriculum (Autumn 2025),,,,0,Autumn 2025,,,,K-GAMES:MSc in Games,No,No
(Discontinued) DADIU Project (Autumn 2025),,,,0,Autumn 2025,,,,K-GAMES:MSc in Games,No,No
(Discontinued) Data Design (Spring 2023),,,,0,Spring 2023,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Data Design (Summer University) (Spring 2023),,,,0,Spring 2023,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Data Management (Autumn 2020),,,,0,Autumn 2020,,,,B-DS:Bachelor of Science in Data Science,No,No
(Discontinued) Data Management (Spring 2021),,,,0,Spring 2021,,,,B-DS:BSc in Data Science,No,No
(Discontinued) Data Mining (Spring 2020),,,,0,Spring 2020,,,,K-SDT:MSc Software Development,No,No
(Discontinued) Data Mining (Spring 2023),,,,0,Spring 2023,,,,K-GAMES:MSc in Games,No,No
(Discontinued) Data Science in Games (Spring 2021),,,,0,Spring 2021,,,,K-GAMES:Master of Science in Information Technology (Games),No,No
(Discontinued) Data Science in Production (Spring 2026),,,,0,Spring 2026,,,,K-DS:MSc in Data Science,No,No
"(Discontinued) Data Science in Research, Business and Society (Autumn 2025)",,,,0,Autumn 2025,,,,B-DS:BSc in Data Science,No,No
(Discontinued) Data Security and Privacy (Spring 2025),,,,0,Spring 2025,,,,M-SMIT:Separate Modules in Informatics Teaching,No,No
(Discontinued) Data Visualisation Design (Spring 2025),,,,0,Spring 2025,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Data in Design (Autumn 2025),,,,0,Autumn 2025,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Data-Driven Design & Development (Spring 2026),,,,0,Spring 2026,,,,K-GAMES:MSc in Games,No,No
(Discontinued) Data: Law and Ethics (Spring 2026),,,,0,Spring 2026,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Database Use and Design (Spring 2025),,,,0,Spring 2025,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Deep Learning for Games and Simulations (Autumn 2024),,,,0,Autumn 2024,,,,K-GAMES:MSc in Games,No,No
(Discontinued) Design af brugerengagement (Autumn 2022),,,,0,Autumn 2022,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Design og udvikling af netværkskulturer (Autumn 2022),,,,0,Autumn 2022,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Designdrevet innovation (Spring 2026),,,,0,Spring 2026,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Designing Digital Play (Autumn 2019),,,,0,Autumn 2019,,,,B-DMD:Bachelor of Science in Digital Media and Design,No,No
(Discontinued) Designing Digital Play (Spring 2026),,,,0,Spring 2026,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Designing Interactions (Spring 2026),,,,0,Spring 2026,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Digital Design and Interactive Technologies - Foundations (Autumn 2025),,,,0,Autumn 2025,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Digital Design and Interactive Technologies - Foundations (Spring 2026),,,,0,Spring 2026,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Digital Experience and Aesthetics (Autumn 2021),,,,0,Autumn 2021,,,,B-DMD:BSc in Digital Media and Design,No,No
"(Discontinued) Digital Management, Governance and Accountability (Spring 2020)",,,,0,Spring 2020,,,,K-DIM:Master of Science in Information Technology (Digital Innovation and Management),No,No
(Discontinued) Digital Media Analysis (Autumn 2020),,,,0,Autumn 2020,,,,B-DDIT:Bachelor of Science in Digital Design and Interactive Technologies,No,No
(Discontinued) Digital Platforms (Autumn 2024),,,,0,Autumn 2024,,,,B-GBI:BSc in Global Business Informatics,No,No
"(Discontinued) Digital Transformation and Change, MSc (Spring 2023)",,,,0,Spring 2023,,,,K-CS:MSc in Computer Science,No,No
(Discontinued) Digital kultur og medier (Spring 2025),,,,0,Spring 2025,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Digital teknologiforståelse i gymnasiet (Autumn 2024),,,,0,Autumn 2024,,,,M-SMIT:Separate Modules in Informatics Teaching,No,No
(Discontinued) Digitale brugerstudier (Spring 2023),,,,0,Spring 2023,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Digitale trends og nye perspektiver - Studietur (Autumn 2023),,,,0,Autumn 2023,,,,M-ILM:Master in IT Management,No,No
(Discontinued) Digitalisation and Public Sector Transformation (Autumn 2021),,,,0,Autumn 2021,,,,K-DIM:MSc in Digital Innovation & Management,No,No
(Discontinued) Digitalt materiale og interaktive artefakter (Spring 2026),,,,0,Spring 2026,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
"(Discontinued) Domain Specific Languages, MSc (Spring 2020)",,,,0,Spring 2020,,,,K-SDT:MSc Software Development,No,No
"(Discontinued) Domain Specific Languages, SEN (Spring 2022)",,,,0,Spring 2022,,,,M-SE:Master in Software Engineering,No,No
(Discontinued) E-business og iværksætteri (Spring 2021),,,,0,Spring 2021,,,,B-DMD:Bachelor of Science in Digital Media and Design,No,No
(Discontinued) Eksperimentelt design i praksis (Spring 2025),,,,0,Spring 2025,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
"(Discontinued) Enterprise Architecture, Master (Autumn 2021)",,,,0,Autumn 2021,,,,M-ILM:Master in IT Management,No,No
"(Discontinued) Enterprise Architecture, Master (Spring 2022)",,,,0,Spring 2022,,,,M-SE:Master in Software Engineering,No,No
(Discontinued) Enterprise Systems and Information Management (Autumn 2025),,,,0,Autumn 2025,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Entrepreneurship (Summer University) (Spring 2023),,,,0,Spring 2023,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Entrepreneurship and Business Decisions (Autumn 2022),,,,0,Autumn 2022,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Experimental Design in Practice (Summer University) (Spring 2023),,,,0,Spring 2023,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) First Year Project (Spring 2024),,,,0,Spring 2024,,,,B-DS:BSc in Data Science,No,No
"(Discontinued) First-year Project: Map of Denmark. Visualization, Navigation, Searching, and Route Planning (Spring 2022)",,,,0,Spring 2022,,,,B-SWU:BSc in Software Development,No,No
"(Discontinued) First-year Project: Map of Denmark. Visualization, Navigation, Searching, and Route Planning (Spring 2026)",,,,0,Spring 2026,,,,B-SWU:BSc in Software Development,No,No
(Discontinued) Forandringsledelse og implementering (Spring 2025),,,,0,Spring 2025,,,,M-ILM:Master in IT Management,No,No
(Discontinued) Forretningsprocesser og organisation (Autumn 2023),,,,0,Autumn 2023,,,,B-SWU:BSc in Software Development,No,No
(Discontinued) Foundations of Computing - Algorithms and Data Structures (Spring 2020),,,,0,Spring 2020,,,,K-SDT:MSc Software Development,No,No
(Discontinued) Foundations of Computing - Discrete Mathematics MSc (Autumn 2019),,,,0,Autumn 2019,,,,K-SDT:MSc Software Development,No,No
(Discontinued) Fremtidens bæredygtige virksomheder (Spring 2025),,,,0,Spring 2025,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Game Project (Spring 2020),,,,0,Spring 2020,,,,K-GAMES:Master of Science in Information Technology (Games),No,No
(Discontinued) Global Project Management (Spring 2025),,,,0,Spring 2025,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Global it (Autumn 2020),,,,0,Autumn 2020,,,,K-DDK:Master of Science in Information Technology (Digital Design and Communication),No,No
(Discontinued) IT & Work Design (Spring 2026),,,,0,Spring 2026,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) IT Enabled Process Improvement (Spring 2026),,,,0,Spring 2026,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) IT and Business Process Modelling (Spring 2023),,,,0,Spring 2023,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) IT og bæredygtighed (Spring 2026),,,,0,Spring 2026,,,,M-ILM:Master in IT Management,No,No
(Discontinued) IT-ledelse og IT-organisationens rolle (Autumn 2021),,,,0,Autumn 2021,,,,M-ILM:Master in IT Management,No,No
(Discontinued) Industry Projects (Autumn 2024),,,,0,Autumn 2024,,,,B-DMD:BSc in Digital Media and Design,No,No
"(Discontinued) Innnovation & Entrepreneurship - Local Basis, Global Business (Autumn 2020)",,,,0,Autumn 2020,,,,K-DIM:Master of Science in Information Technology (Digital Innovation and Management),No,No
"(Discontinued) Innovation & entrepreneurship - local basis, global business (Spring 2020)",,,,0,Spring 2020,,,,K-DIM:Master of Science in Information Technology (Digital Innovation and Management),No,No
(Discontinued) Intelligent Systems Programming (Spring 2020),,,,0,Spring 2020,,,,B-SWU:Bachelor of Science in Software Development,No,No
"(Discontinued) Intelligent Systems Programming, MSc SD (Spring 2020)",,,,0,Spring 2020,,,,K-SD:Master of Science in Information Technology (Software Design),No,No
"(Discontinued) Intelligent Systems Programming, MSc SDT (Spring 2020)",,,,0,Spring 2020,,,,K-SDT:MSc Software Development,No,No
(Discontinued) Interaktionsdesign: Genrer og kontekster (Autumn 2019),,,,0,Autumn 2019,,,,B-DDIT:Bachelor in Digital Design and Interactive Technologies,No,No
(Discontinued) Interaktionsdesign: Kernebegreber og perspektiver (Autumn 2025),,,,0,Autumn 2025,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
"(Discontinued) Introducerende akademisk projekt, Kvalifikationsforløb til master (Autumn 2022)",,,,0,Autumn 2022,,,,I-KV-ILM:Qualification Process for Master in IT Leadership and Management,No,No
"(Discontinued) Introduction to Database Design, BSc (Autumn 2020)",,,,0,Autumn 2020,,,,B-SWU:Bachelor of Science in Software Development,No,No
"(Discontinued) Introduction to Database Design, BSc (Spring 2021)",,,,0,Spring 2021,,,,B-SWU:Bachelor of Science in Software Development,No,No
"(Discontinued) Introduction to Database Design, MSc SD (Autumn 2020)",,,,0,Autumn 2020,,,,K-SD:Master of Science in Information Technology (Software Design),No,No
"(Discontinued) Introduction to Database Design, MSc SD (Spring 2021)",,,,0,Spring 2021,,,,K-SD:Master of Science in Information Technology (Software Design),No,No
"(Discontinued) Introduction to Database Design, MSc SDT (Autumn 2019)",,,,0,Autumn 2019,,,,K-SDT:MSc Software Development,No,No
"(Discontinued) Introduction to Database Design, MSc SDT (Spring 2020)",,,,0,Spring 2020,,,,K-SDT:MSc Software Development,No,No
"(Discontinued) Introduction to Image Analysis and Machine Learning, BSc (Spring 2023)",,,,0,Spring 2023,,,,B-SWU:BSc in Software Development,No,No
"(Discontinued) Introduction to Image Analysis and Machine Learning, MSc (Spring 2022)",,,,0,Spring 2022,,,,K-SD:MSc in Software Design,No,No
(Discontinued) Introduction to Service Design (Spring 2024),,,,0,Spring 2024,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Introduction to Service Design and Management (Spring 2026),,,,0,Spring 2026,,,,K-DIM:MSc in Digital Innovation & Management,No,No
(Discontinued) It-strategi og forretningsforståelse (15 ECTS) (Spring 2022),,,,0,Spring 2022,,,,M-ILM:Master in IT Management,No,No
"(Discontinued) It-strategi og forretningsforståelse (7,5 ECTS) (Spring 2020)",,,,0,Spring 2020,,,,M-ILM:Master of IT (IT Leadership and Management),No,No
(Discontinued) Jorden rundt på 4 dage - digital transformation i et globalt perspektiv (Autumn 2024),,,,0,Autumn 2024,,,,M-ILM:Master in IT Management,No,No
(Discontinued) Jorden rundt på 4 dage - kunstig intelligens og digital transformation i et globalt perspektiv (Autumn 2025),,,,0,Autumn 2025,,,,M-ILM:Master in IT Management,No,No
(Discontinued) Kvalitative forskningsmetoder og akademisk formidling (Autumn 2020),,,,0,Autumn 2020,,,,B-DMD:Bachelor of Science in Digital Media and Design,No,No
(Discontinued) Leadership and Strategies for the Blockchain Economy (Spring 2026),,,,0,Spring 2026,,,,M-ILM:Master in IT Management,No,No
(Discontinued) Ledelse af kreative projekter (Autumn 2024),,,,0,Autumn 2024,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Locative Media (Spring 2020),,,,0,Spring 2020,,,,B-DMD:Bachelor of Science in Digital Media and Design,No,No
(Discontinued) Managing Digital Transformation (Spring 2025),,,,0,Spring 2025,,,,K-CS:MSc in Computer Science,No,No
(Discontinued) Managing Sustainability (Autumn 2022),,,,0,Autumn 2022,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Methodology and Communication in IT Management (Autumn 2021),,,,0,Autumn 2021,,,,M-ILM:Master in IT Management,No,No
"(Discontinued) Mobile App Development, MSc SDT (Spring 2020)",,,,0,Spring 2020,,,,K-SDT:MSc Software Development,No,No
"(Discontinued) Mobile and Distributed Systems, BSc (Autumn 2020)",,,,0,Autumn 2020,,,,B-SWU:Bachelor of Science in Software Development,No,No
"(Discontinued) Mobile and Distributed Systems, MSc (Autumn 2019)",,,,0,Autumn 2019,,,,K-SDT:MSc Software Development,No,No
"(Discontinued) Mobile and Distributed Systems, MSc (Autumn 2020)",,,,0,Autumn 2020,,,,K-SD:Master of Science in Information Technology (Software Design),No,No
(Discontinued) Modern Artificial Intelligence (Autumn 2022),,,,0,Autumn 2022,,,,K-GAMES:MSc in Games,No,No
(Discontinued) Natural Language Processing and Deep Learning (Autumn 2022),,,,0,Autumn 2022,,,,K-SDT:MSc in Software Development,No,No
"(Discontinued) Natural Language Processing and Deep Learning, BSc (Summer University) (Spring 2023)",,,,0,Spring 2023,,,,B-SWU:BSc in Software Development,No,No
"(Discontinued) Natural Language Processing and Deep Learning, MSc (Summer University) (Spring 2023)",,,,0,Spring 2023,,,,K-CS:MSc in Computer Science,No,No
"(Discontinued) Navigating Complexity: Mapping, Visualisation and Decision-making (Autumn 2025)",,,,0,Autumn 2025,,,,K-DIM:MSc in Digital Innovation & Management,No,No
(Discontinued) Networked Media and Communication (Autumn 2025),,,,0,Autumn 2025,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Operating Systems and C (Autumn 2022),,,,0,Autumn 2022,,,,B-SWU:BSc in Software Development,No,No
(Discontinued) Organisation and Process Theory (Autumn 2025),,,,0,Autumn 2025,,,,B-GBI:BSc in Global Business Informatics,No,No
(Discontinued) Organisation og innovation (Spring 2025),,,,0,Spring 2025,,,,M-ILM:Master in IT Management,No,No
(Discontinued) Organisational Change (Autumn 2023),,,,0,Autumn 2023,,,,K-DIM:MSc in Digital Innovation & Management,No,No
(Discontinued) Organisational Change (Summer University) (Spring 2024),,,,0,Spring 2024,,,,K-DIM:MSc in Digital Innovation & Management,No,No
"(Discontinued) Philosophy of Science and Technology, DMD/B-DDIT (Spring 2025)",,,,0,Spring 2025,,,,B-DMD:BSc in Digital Media and Design,No,No
(Discontinued) Physical Computing (Autumn 2025),,,,0,Autumn 2025,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Physical Computing (Spring 2020),,,,0,Spring 2020,,,,B-DMD:Bachelor of Science in Digital Media and Design,No,No
(Discontinued) Physical Computing (Spring 2026),,,,0,Spring 2026,,,,B-DDIT:BSc in Digital Design and Interactive Technologies,No,No
(Discontinued) Play Design (Spring 2021),,,,0,Spring 2021,,,,K-GAMES:Master of Science in Information Technology (Games),No,No
(Discontinued) Practical Concurrent and Parallel Programming (Autumn 2019),,,,0,Autumn 2019,,,,K-SDT:MSc Software Development,No,No
(Discontinued) Programmer som data (Autumn 2022),,,,0,Autumn 2022,,,,B-SWU:BSc in Software Development,No,No
